"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"1",2,"BATHGATE","01  ONE FAMILY HOMES","1",3048,19,"A5","2186 Bathgate Avenue",NA,10457,1,0,1,"1768",1188,1901,"1","A5",345752,2009-03-16,2030480019,"2011521","0000","11420","2186","2186","BATHGATE AVENUE",40.8527243828649,-73.8931882327976
"2",2,"BATHGATE","02  TWO FAMILY HOMES","1",3030,71,"B2","4443 Park Avenue",NA,10457,2,0,2,"2352",1632,1899,"1","B2",135000,2009-05-08,2030300071,"2011154","0000","56820","4443","4443","PARK AVENUE",40.8537483192918,-73.8963748342131
"3",2,"BATHGATE","02  TWO FAMILY HOMES","1",3030,76,"B2","4435 Park Avenue",NA,10457,2,0,2,"2444",2125,1899,"1","B2",325000,2009-03-30,2030300076,"2011158","0000","56820","4435","4435","PARK AVENUE",40.8535014292773,-73.8965234247436
"4",2,"BATHGATE","02  TWO FAMILY HOMES","1",3036,62,"B1","459 East 179 Street",NA,10457,2,0,2,"2000",2340,1998,"1","B1",344500,2009-11-20,2030360062,"2115443","0000","27030","459","459","EAST  179 STREET",40.8499748374917,-73.8969192862026
"5",2,"BATHGATE","02  TWO FAMILY HOMES","1",3036,62,"B1","459 East 179th Street",NA,10457,2,0,2,"2000",2340,1998,"1","B1",316474,2009-05-04,2030360062,"2115443","0000","27030","459","459","EAST  179 STREET",40.8499748374917,-73.8969192862026
"6",2,"BATHGATE","02  TWO FAMILY HOMES","1",3037,6,"B2","4392 Park Avenue",NA,10457,2,0,2,"2275",3240,1899,"1","B2",359038,2009-01-19,2030370006,"2011292","0000","56820","4392","4392","PARK AVENUE",40.8521837261366,-73.8962507570552
"7",2,"BATHGATE","02  TWO FAMILY HOMES","1",3050,94,"B2","2240 Bassford Avenue",NA,10457,2,0,2,"1300",2300,1901,"1","B2",389000,2009-07-28,2030500094,"2011578","0000","11320","2240","2240","BASSFORD AVENUE",40.8538277825886,-73.8932189940133
"8",2,"BATHGATE","03  THREE FAMILY HOMES","1",2912,116,"C0","1536 Washington Avenue",NA,10457,3,0,3,"2000",2400,1993,"1","C0",319500,2009-10-07,2029120116,"2099186",NA,"73120","1536","1536","WASHINGTON AVENUE",40.8379855835027,-73.9028213478653
"9",2,"BATHGATE","03  THREE FAMILY HOMES","1",3037,67,"C0","460 East 182 Street",NA,10457,3,0,3,"2000",3744,1899,"1","C0",162240,2009-11-12,2030370067,"2011318","0000","27120","460","460","EAST  182 STREET",40.8541995274815,-73.8945341901004
"10",2,"BATHGATE","03  THREE FAMILY HOMES","1",3037,103,"C0","2135 Washington Avenue",NA,10457,3,0,3,"1701",4600,2006,"1","C0",630000,2009-07-17,2030370103,"2113778","0000","73120","2135","2135","WASHINGTON AVENUE",40.8525999928972,-73.8952235248192
